,subject_code,period,seq,conector,lparen,test_code,test_score,prerequisite_subject_code,grade,score,rparen,prerequsite_type,origen
5,PRAI2310,202220,8,Y,(,,0.0,ARQI0006,Pregrado,6.0,,homologacion,DIPZ4913
6,PRAI2310,202220,9,O,,A309,6.0,,,,),homologacion,DIPZ4913
7,PRAI2310,202220,10,,,,0.0,,,,),homologacion,DIPZ4913
8,PRAI2310,202220,11,,,,,,,,),homologacion,
0,DINC3606,202620,1,,,,0.0,ARQI0008,Pregrado,6.0,,malla,DINC3606
1,DINC3606,202620,2,Y,(,,0.0,ARQI0025,Pregrado,6.0,,malla,DINC3606
2,DINC3606,202620,5,O,,A415,6.0,,,,),malla,DINC3606
3,DINC3606,202620,6,Y,(,,0.0,ARQI0006,Pregrado,6.0,,malla,DINC3606
4,DINC3606,202620,7,O,,A309,6.0,,,,),malla,DINC3606
0,TECN3210,202220,1,,,,0.0,TECN1110,Pregrado,6.0,,malla,
0,TECN3210,202220,2,O,(,,,,,,,homologacion,
1,TECN3210,202220,3,,,,0.0,ARQI0008,Pregrado,6.0,,homologacion,DINC3606
2,TECN3210,202220,4,Y,(,,0.0,ARQI0025,Pregrado,6.0,,homologacion,DINC3606
3,TECN3210,202220,5,O,,A415,6.0,,,,),homologacion,DINC3606
4,TECN3210,202220,6,Y,(,,0.0,ARQI0006,Pregrado,6.0,,homologacion,DINC3606
5,TECN3210,202220,7,O,,A309,6.0,,,,),homologacion,DINC3606
6,TECN3210,202220,8,,,,,,,,),homologacion,
0,ARQI0011,202620,1,,,,0.0,ARQI0008,Pregrado,6.0,,malla,ARQI0011
1,ARQI0011,202620,2,Y,(,,0.0,ARQI0006,Pregrado,6.0,,malla,ARQI0011
2,ARQI0011,202620,3,O,,A309,6.0,,,,),malla,ARQI0011
3,ARQI0011,202620,4,Y,(,,0.0,ARQI0025,Pregrado,6.0,,malla,ARQI0011
4,ARQI0011,202620,7,O,,A415,6.0,,,,),malla,ARQI0011
0,DINT2403,202620,1,,(,,,DINT2303,,6.0,,malla,
1,DINT2403,202620,2,Y,,,,DINT2306,,6.0,),malla,
2,DINT2403,202620,3,O,(,,,PRAI1020,,6.0,,homologacion,
3,DINT2403,202620,4,Y,,,,TEXP2030,,6.0,),homologacion,
4,DINT2403,202620,5,O,(,,,ARQI0008,,6.0,,homologacion,
5,DINT2403,202620,6,Y,(,,,ARQI0006,,6.0,,homologacion,
6,DINT2403,202620,7,O,,A309,6.0,,,,),homologacion,
7,DINT2403,202620,8,Y,(,,,ARQI0005,,6.0,,homologacion,
8,DINT2403,202620,9,O,,A415,6.0,,,,),homologacion,
9,DINT2403,202620,10,,,,,,,,),homologacion,
0,DINT2403,202620,11,O,(,,,,,,,homologacion,
1,DINT2403,202620,12,,,,0.0,ARQI0008,Pregrado,6.0,,homologacion,ARQI0011
2,DINT2403,202620,13,Y,(,,0.0,ARQI0006,Pregrado,6.0,,homologacion,ARQI0011
3,DINT2403,202620,14,O,,A309,6.0,,,,),homologacion,ARQI0011
4,DINT2403,202620,15,Y,(,,0.0,ARQI0025,Pregrado,6.0,,homologacion,ARQI0011
5,DINT2403,202620,16,O,,A415,6.0,,,,),homologacion,ARQI0011
6,DINT2403,202620,17,,,,,,,,),homologacion,
0,PRAI2040,202220,1,,,,0.0,PRAI1030,Pregrado,6.0,,malla,
1,PRAI2040,202220,2,Y,,,0.0,TEXP3050,Pregrado,6.0,,malla,
2,PRAI2040,202220,3,Y,,,0.0,TEXP1210,Pregrado,6.0,,malla,
0,PRAI2040,202220,4,O,(,,,,,,,homologacion,
1,PRAI2040,202220,5,,,,0.0,ARQI0008,Pregrado,6.0,,homologacion,ARQI0011
2,PRAI2040,202220,6,Y,(,,0.0,ARQI0006,Pregrado,6.0,,homologacion,ARQI0011
3,PRAI2040,202220,7,O,,A309,6.0,,,,),homologacion,ARQI0011
4,PRAI2040,202220,8,Y,(,,0.0,ARQI0025,Pregrado,6.0,,homologacion,ARQI0011
5,PRAI2040,202220,9,O,,A415,6.0,,,,),homologacion,ARQI0011
6,PRAI2040,202220,10,,,,,,,,),homologacion,
0,ARQI0007,202620,1,,(,,0.0,ARQI0025,Pregrado,6.0,,malla,ARQI0007
1,ARQI0007,202620,4,O,,A415,6.0,,,,),malla,ARQI0007
2,ARQI0007,202620,5,Y,,,0.0,ARQI0008,Pregrado,6.0,,malla,ARQI0007
3,ARQI0007,202620,6,Y,(,,0.0,ARQI0006,Pregrado,6.0,,malla,ARQI0007
4,ARQI0007,202620,7,O,,A309,6.0,,,,),malla,ARQI0007
0,PRAI2510,202220,1,,,,0.0,PRAI1030,Pregrado,6.0,,malla,
1,PRAI2510,202220,2,Y,,,0.0,TEXP1210,Pregrado,6.0,,malla,
2,PRAI2510,202220,3,Y,,,0.0,TECN2410,Pregrado,6.0,,malla,
0,PRAI2510,202220,4,O,(,,,,,,,homologacion,
1,PRAI2510,202220,5,,(,,0.0,ARQI0025,Pregrado,6.0,,homologacion,ARQI0007
2,PRAI2510,202220,6,O,,A415,6.0,,,,),homologacion,ARQI0007
3,PRAI2510,202220,7,Y,,,0.0,ARQI0008,Pregrado,6.0,,homologacion,ARQI0007
4,PRAI2510,202220,8,Y,(,,0.0,ARQI0006,Pregrado,6.0,,homologacion,ARQI0007
5,PRAI2510,202220,9,O,,A309,6.0,,,,),homologacion,ARQI0007
6,PRAI2510,202220,10,,,,,,,,),homologacion,
0,ARQI0028,202620,1,,(,,0.0,ARQI0027,Pregrado,6.0,,malla,ARQI0028
1,ARQI0028,202620,3,O,,A449,6.0,,,,),malla,ARQI0028
2,ARQI0028,202620,4,Y,,,0.0,ARQI0011,Pregrado,6.0,,malla,ARQI0028
0,DINC3715,202620,1,,(,,,DIDZ4308,,6.0,,malla,
1,DINC3715,202620,2,O,,A258,6.0,,,,),malla,
2,DINC3715,202620,3,O,(,,,,,,,homologacion,
3,DINC3715,202620,4,,(,,,ARQI0005,,6.0,,homologacion,
4,DINC3715,202620,5,O,,A415,6.0,,,,),homologacion,
5,DINC3715,202620,6,Y,(,,,ARQI0006,,6.0,,homologacion,
6,DINC3715,202620,7,O,,A309,6.0,,,,),homologacion,
7,DINC3715,202620,8,,,,,,,,),homologacion,
0,DINC3715,202620,9,O,(,,,,,,,homologacion,
1,DINC3715,202620,10,,(,,0.0,ARQI0027,Pregrado,6.0,,homologacion,ARQI0028
2,DINC3715,202620,11,O,,A449,6.0,,,,),homologacion,ARQI0028
3,DINC3715,202620,12,Y,,,0.0,ARQI0011,Pregrado,6.0,,homologacion,ARQI0028
4,DINC3715,202620,13,,,,,,,,),homologacion,
0,AQTR3005,202420,1,,,,0.0,AQTR2004,Pregrado,6.0,,malla,
0,AQTR3005,202420,2,O,(,,,,,,,homologacion,
1,AQTR3005,202420,3,,(,,0.0,ARQI0027,Pregrado,6.0,,homologacion,ARQI0028
2,AQTR3005,202420,4,O,,A449,6.0,,,,),homologacion,ARQI0028
3,AQTR3005,202420,5,Y,,,0.0,ARQI0011,Pregrado,6.0,,homologacion,ARQI0028
4,AQTR3005,202420,6,,,,,,,,),homologacion,
0,ARQI0016,202620,1,,,,0.0,ARQI0011,Pregrado,6.0,,malla,ARQI0016
1,ARQI0016,202620,2,Y,,,0.0,ARQI0009,Pregrado,6.0,,malla,ARQI0016
2,ARQI0016,202620,3,Y,(,,0.0,ARQI0027,Pregrado,6.0,,malla,ARQI0016
3,ARQI0016,202620,5,O,,A449,6.0,,,,),malla,ARQI0016
0,DINT3503,202620,1,,,,,DINT2403,,6.0,,malla,
1,DINT3503,202620,2,O,(,,,PRAI1030,,6.0,,homologacion,
2,DINT3503,202620,3,Y,,,,TEXP3050,,6.0,,homologacion,
3,DINT3503,202620,4,Y,,,,TEXP1210,,6.0,),homologacion,
4,DINT3503,202620,5,O,(,,,ARQI0011,,6.0,,homologacion,
5,DINT3503,202620,6,Y,,,,ARQI0009,,6.0,,homologacion,
6,DINT3503,202620,7,Y,(,,,ARQI0010,,6.0,,homologacion,
7,DINT3503,202620,8,O,,A416,6.0,,,,),homologacion,
8,DINT3503,202620,9,,,,,,,,),homologacion,
0,DINT3503,202620,10,O,(,,,,,,,homologacion,
1,DINT3503,202620,11,,,,0.0,ARQI0011,Pregrado,6.0,,homologacion,ARQI0016
2,DINT3503,202620,12,Y,,,0.0,ARQI0009,Pregrado,6.0,,homologacion,ARQI0016
3,DINT3503,202620,13,Y,(,,0.0,ARQI0027,Pregrado,6.0,,homologacion,ARQI0016
4,DINT3503,202620,14,O,,A449,6.0,,,,),homologacion,ARQI0016
5,DINT3503,202620,15,,,,,,,,),homologacion,
0,PRAI2050,202220,1,,,,0.0,PRAI2040,Pregrado,6.0,,malla,
1,PRAI2050,202220,2,Y,,,0.0,TECN3310,Pregrado,6.0,,malla,
0,PRAI2050,202220,3,O,(,,,,,,,homologacion,
1,PRAI2050,202220,4,,,,0.0,ARQI0011,Pregrado,6.0,,homologacion,ARQI0016
2,PRAI2050,202220,5,Y,,,0.0,ARQI0009,Pregrado,6.0,,homologacion,ARQI0016
3,PRAI2050,202220,6,Y,(,,0.0,ARQI0027,Pregrado,6.0,,homologacion,ARQI0016
4,PRAI2050,202220,7,O,,A449,6.0,,,,),homologacion,ARQI0016
5,PRAI2050,202220,8,,,,,,,,),homologacion,
0,ARQI0022,202620,1,,,,0.0,DIIN0006,Pregrado,6.0,,malla,ARQI0022
1,ARQI0022,202620,2,O,,,0.0,ARQI0028,Pregrado,6.0,,malla,ARQI0022
2,ARQI0022,202620,5,O,,A448,6.0,,,,,malla,ARQI0022
0,ARQI0020,202620,1,,,,0.0,ARQI0016,Pregrado,6.0,,malla,ARQI0020
1,ARQI0020,202620,2,Y,,,0.0,ARQI0012,Pregrado,6.0,,malla,ARQI0020
2,ARQI0020,202620,3,Y,(,,0.0,ARQI0028,Pregrado,6.0,,malla,ARQI0020
3,ARQI0020,202620,5,O,,A448,6.0,,,,),malla,ARQI0020
0,DIPZ4924,202620,1,,,,0.0,PMCZ4462,Pregrado,6.0,,malla,DIPZ4924
1,DIPZ4924,202620,2,O,(,,0.0,DIIN0008,Pregrado,6.0,,malla,DIPZ4924
2,DIPZ4924,202620,3,O,,A390,6.0,,,,),malla,DIPZ4924
3,DIPZ4924,202620,4,O,(,,0.0,ARQI0028,Pregrado,6.0,,malla,DIPZ4924
4,DIPZ4924,202620,6,O,,A448,6.0,,,,),malla,DIPZ4924
0,DINZ4111,202620,1,,(,,0.0,DINC3715,Pregrado,6.0,,malla,DINZ4111
1,DINZ4111,202620,2,O,,A259,6.0,,,,),malla,DINZ4111
2,DINZ4111,202620,3,Y,(,,0.0,DINT4703,Pregrado,6.0,,malla,DINZ4111
3,DINZ4111,202620,4,O,,,0.0,ARQI0023,Pregrado,6.0,),malla,DINZ4111
4,DINZ4111,202620,5,Y,(,,0.0,DINC4709,Pregrado,6.0,,malla,DINZ4111
5,DINZ4111,202620,7,Y,,,0.0,DINT4812,Pregrado,6.0,,malla,DINZ4111
6,DINZ4111,202620,8,Y,,,0.0,DITZ4418,Pregrado,6.0,,malla,DINZ4111
